0	Crocodylus_porosus
1	Caenorhabditis_elegans
2	Cepaea_nemoralis
3	Lithobates_catesbeianus
4	Urechis_caupo
5	Boa_constrictor
6	Ornithorhynchus_anatinus
7	Pelomedusa_subrufa
8	Mus_musculus
9	Danio_rerio
10	Alligator_mississippiensis
11	Gallus_gallus
12	Aythya_americana
13	Smithornis_sharpei
14	Branchiostoma_floridae
15	Mytilus_edulis
16	Fasciola_hepatica
17	Bipes_biporus
18	Albinaria_coerulea
19	Struthio_camelus
20	Homarus_americanus
21	Falco_peregrinus
22	Aedes_albopictus
23	Vidua_chalybeata
24	Anopheles_gambiae
25	Fejervarya_limnocharis
26	Katharina_tunicata
27	Platynereis_dumerilii
28	Dinodon_semicarinatus
29	Speleonectes_tulumensis
30	Didelphis_virginiana
31	Daphnia_pulex
32	Xenopus_tropicalis
33	Homo_sapiens
34	Loligo_bleekeri
35	Romanomermis_culicivorax
36	Parastichopus_californicus
37	Ascaris_suum
38	Apis_mellifera
39	Asterias_amurensis
40	Rhea_americana
41	Locusta_migratoria
42	Drosophila_melanogaster
43	Lumbricus_terrestris
44	Balanoglossus_carnosus
45	Artemia_franciscana
46	Python_bivittatus
47	Ophiopholis_aculeata
48	Gloydius_blomhoffii
49	Cucumaria_miniata
50	Meloidogyne_javanica
51	Strongylocentrotus_purpuratus
52	Florometra_serratissima
53	Pisaster_ochraceus
54	Sphenodon_punctatus
55	Onchocerca_volvulus
56	Branchiostoma_lanceolatum
57	Rhipicephalus_sanguineus
