0	Drosophila_melanogaster
1	Pisaster_ochraceus
2	Danio_rerio
3	Homo_sapiens
4	Mus_musculus
5	Sphenodon_punctatus
6	Asterias_amurensis
7	Dinodon_semicarinatus
8	Gloydius_blomhoffii
9	Alligator_mississippiensis
10	Crocodylus_porosus
11	Boa_constrictor
12	Ornithorhynchus_anatinus
13	Pelomedusa_subrufa
14	Xenopus_tropicalis
15	Didelphis_virginiana
16	Balanoglossus_carnosus
17	Bipes_biporus
18	Gallus_gallus
19	Aythya_americana
20	Smithornis_sharpei
21	Falco_peregrinus
22	Vidua_chalybeata
23	Struthio_camelus
24	Rhea_americana
25	Fejervarya_limnocharis
26	Branchiostoma_floridae
27	Lithobates_catesbeianus
28	Romanomermis_culicivorax
29	Apis_mellifera
30	Artemia_franciscana
31	Locusta_migratoria
32	Aedes_albopictus
33	Daphnia_pulex
34	Anopheles_gambiae
35	Florometra_serratissima
36	Strongylocentrotus_purpuratus
37	Python_bivittatus
38	Cepaea_nemoralis
39	Caenorhabditis_elegans
40	Ascaris_suum
41	Urechis_caupo
42	Fasciola_hepatica
43	Loligo_bleekeri
44	Albinaria_coerulea
45	Mytilus_edulis
46	Meloidogyne_javanica
47	Katharina_tunicata
48	Parastichopus_californicus
49	Branchiostoma_lanceolatum
50	Ophiopholis_aculeata
51	Cucumaria_miniata
52	Lumbricus_terrestris
53	Platynereis_dumerilii
54	Speleonectes_tulumensis
55	Homarus_americanus
56	Rhipicephalus_sanguineus
57	Onchocerca_volvulus
